округ;код ученика;любимый предмет;балл
Ю;Ученик 98;русский язык;300
СВ;Ученик 99;русский язык;519
ЮВ;Ученик 100;литература;451
СВ;Ученик 101;обществознание;723
Ю;Ученик 102;история;770
Ю;Ученик 103;физика;740
Ю;Ученик 104;английский язык;731
С;Ученик 105;химия;577
СВ;Ученик 106;физика;653
Ю;Ученик 107;физкультура;685
ЮЗ;Ученик 108;физика;287
Ц;Ученик 109;математика;753
ЮВ;Ученик 110;физика;316
СВ;Ученик 111;русский язык;521
В;Ученик 112;физика;669
З;Ученик 113;русский язык;262
ЗЕЛ;Ученик 114;английский язык;319
ЗЕЛ;Ученик 115;химия;779
ЮЗ;Ученик 116;французский язык;413
ЮВ;Ученик 117;физика;708
ЮЗ;Ученик 118;обществознание;239
Ц;Ученик 119;обществознание;672
СВ;Ученик 120;обществознание;778
ЮЗ;Ученик 121;английский язык;582
С;Ученик 122;ИЗО;215
СВ;Ученик 123;литература;296
В;Ученик 124;физика;391
СВ;Ученик 125;математика;641
Ц;Ученик 126;химия;447
СЗ;Ученик 127;французский язык;736
СВ;Ученик 128;обществознание;491
ЮВ;Ученик 129;физкультура;299
СВ;Ученик 130;обществознание;571
СВ;Ученик 131;обществознание;549
Ю;Ученик 132;информатика;538
В;Ученик 133;английский язык;534
СЗ;Ученик 134;английский язык;225
В;Ученик 135;английский язык;201
В;Ученик 136;информатика;258
СВ;Ученик 137;ИЗО;354
З;Ученик 138;химия;509
Ц;Ученик 139;английский язык;325
В;Ученик 140;информатика;708
В;Ученик 141;физкультура;430
С;Ученик 142;химия;688
Ц;Ученик 143;информатика;552
СЗ;Ученик 144;ИЗО;468
Ц;Ученик 145;математика;798
Ю;Ученик 146;обществознание;684
В;Ученик 147;обществознание;648
Ю;Ученик 148;русский язык;323
Ю;Ученик 149;английский язык;388
ЗЕЛ;Ученик 150;математика;776
С;Ученик 151;английский язык;521
З;Ученик 152;география;554
В;Ученик 153;физкультура;604
Ю;Ученик 154;химия;757
Ю;Ученик 155;химия;452
ЮВ;Ученик 156;обществознание;581
Ц;Ученик 157;информатика;740
Ц;Ученик 158;математика;526
СВ;Ученик 159;физкультура;539
СВ;Ученик 160;французский язык;710
СЗ;Ученик 161;английский язык;790
ЮЗ;Ученик 162;английский язык;755
В;Ученик 163;физкультура;367
Ю;Ученик 164;ИЗО;426
З;Ученик 165;физкультура;700
В;Ученик 166;физика;709
ЮЗ;Ученик 167;физкультура;635
С;Ученик 168;история;548
ЮЗ;Ученик 169;английский язык;501
С;Ученик 170;информатика;597
СЗ;Ученик 171;физика;678
ЮЗ;Ученик 172;английский язык;338
ЗЕЛ;Ученик 173;физкультура;747
Ц;Ученик 174;обществознание;688
ЮЗ;Ученик 175;биология;491
С;Ученик 176;информатика;669
З;Ученик 177;обществознание;635
В;Ученик 178;химия;795
З;Ученик 179;физкультура;671
СВ;Ученик 180;английский язык;234
СВ;Ученик 181;русский язык;663
ЮЗ;Ученик 182;английский язык;658
З;Ученик 183;русский язык;694
З;Ученик 184;обществознание;218
В;Ученик 185;математика;230
С;Ученик 186;математика;728
ЮЗ;Ученик 187;физкультура;353
ЮЗ;Ученик 188;информатика;520
С;Ученик 189;история;365
СЗ;Ученик 190;химия;324
ЮВ;Ученик 191;обществознание;771
ЮВ;Ученик 192;русский язык;734
З;Ученик 193;история;778
С;Ученик 194;физика;535
В;Ученик 195;математика;602
В;Ученик 196;физкультура;339
ЮЗ;Ученик 197;физкультура;306
ЮЗ;Ученик 198;английский язык;387
ЮЗ;Ученик 199;обществознание;625
СЗ;Ученик 200;русский язык;652
ЮВ;Ученик 201;история;385
С;Ученик 202;обществознание;708
С;Ученик 203;информатика;655
ЗЕЛ;Ученик 204;химия;534
СВ;Ученик 205;русский язык;713
В;Ученик 206;информатика;682
Ю;Ученик 207;физкультура;437
Ю;Ученик 208;физика;214
ЗЕЛ;Ученик 209;обществознание;745
СВ;Ученик 210;история;514
В;Ученик 211;русский язык;261
В;Ученик 212;обществознание;580
Ц;Ученик 213;английский язык;355
Ц;Ученик 214;английский язык;692
З;Ученик 215;география;298
З;Ученик 216;английский язык;202
ЮВ;Ученик 217;английский язык;733
ЗЕЛ;Ученик 218;химияГПД;220
СВ;Ученик 219;история;580
СЗ;Ученик 220;русский язык;701
ЮЗ;Ученик 221;русский язык;351
ЮЗ;Ученик 222;химия;451
С;Ученик 223;обществознание;793
ЮЗ;Ученик 224;география;448
С;Ученик 225;информатика;326
З;Ученик 226;английский язык;719
ЮВ;Ученик 227;химия;620
Ц;Ученик 228;обществознание;456
В;Ученик 229;история;524
ЮЗ;Ученик 230;химия;557
С;Ученик 231;химия;561
С;Ученик 232;английский язык;582
СВ;Ученик 233;обществознание;695
СВ;Ученик 234;физкультура;369
СВ;Ученик 235;литература;209
Ю;Ученик 236;английский язык;392
Ц;Ученик 237;русский язык;634
Ц;Ученик 238;математика;743
ЮЗ;Ученик 239;русский язык;403
ЮВ;Ученик 240;физика;286
Ю;Ученик 241;русский язык;233
ЮВ;Ученик 242;химия;577
В;Ученик 243;обществознание;542
ЮЗ;Ученик 244;информатика;445
ЗЕЛ;Ученик 245;химия;738
З;Ученик 246;обществознание;716
З;Ученик 247;русский язык;410
Ц;Ученик 248;русский язык;694
Ц;Ученик 249;история;667
С;Ученик 250;физкультура;296
З;Ученик 251;химия;493
В;Ученик 252;ИЗО;286
Ц;Ученик 253;история;696
С;Ученик 254;информатика;303
Ю;Ученик 255;литература;571
Ц;Ученик 256;физика;460
В;Ученик 257;русский язык;593
СВ;Ученик 258;английский язык;413
СЗ;Ученик 259;биология;273
Ц;Ученик 260;обществознание;601
В;Ученик 261;обществознание;660
С;Ученик 262;биология;675
С;Ученик 263;физкультура;225
ЮВ;Ученик 264;химия;285
ЮЗ;Ученик 265;химия;430
Ю;Ученик 266;русский язык;610
СЗ;Ученик 267;обществознание;784
ЮЗ;Ученик 268;математика;600
СВ;Ученик 269;обществознание;368
СВ;Ученик 270;обществознание;436
СВ;Ученик 271;математика;513
СВ;Ученик 272;информатика;770
В;Ученик 273;химиягпд;639
С;Ученик 274;физика;530
ЮЗ;Ученик 275;немецкий язык;383
С;Ученик 276;английский язык;759
В;Ученик 277;обществознание;371
С;Ученик 278;русский язык;614
СВ;Ученик 279;математика;444
Ю;Ученик 280;история;734
Ц;Ученик 281;химия;391
СВ;Ученик 282;математика;350
СВ;Ученик 283;ИЗО;776
З;Ученик 284;литература;534
ЮЗ;Ученик 285;обществознание;697
С;Ученик 286;обществознание;581
З;Ученик 287;обществознание;606
З;Ученик 288;математика;744
ЮЗ;Ученик 289;английский язык;218
СВ;Ученик 290;история;303
СВ;Ученик 291;информатика;516
ЮЗ;Ученик 292;русский язык;620
ЮЗ;Ученик 293;обществознание;283
СВ;Ученик 294;физкультура;245
Ю;Ученик 295;английский язык;711
ЮЗ;Ученик 296;математика;582
С;Ученик 297;русский язык;777
Ц;Ученик 298;география;676
В;Ученик 299;немецкий язык;725
СЗ;Ученик 300;английский язык;409
В;Ученик 301;физкультура;691
Ю;Ученик 302;информатика;649
СЗ;Ученик 303;русский язык;567
СВ;Ученик 304;математика;793
СВ;Ученик 305;информатика;754
ЮЗ;Ученик 306;русский язык;504
В;Ученик 307;обществознание;503
С;Ученик 308;математика;797
С;Ученик 309;химия;468
З;Ученик 310;физкультура;549
СЗ;Ученик 311;физкультура;387
Ц;Ученик 312;английский язык;269
Ю;Ученик 313;русский язык;481
В;Ученик 314;информатика;653
ЮЗ;Ученик 315;обществознание;377
СЗ;Ученик 316;обществознание;298
З;Ученик 317;французский язык;739
ЮВ;Ученик 318;обществознание;498
С;Ученик 319;обществознание;382
СВ;Ученик 320;английский язык;214
Ц;Ученик 321;история;208
ЮЗ;Ученик 322;математика;785
Ц;Ученик 323;информатика;757
СВ;Ученик 324;обществознание;739
Ю;Ученик 325;русский язык;536
Ю;Ученик 326;обществознание;648
ЮЗ;Ученик 327;информатика;738
ЮЗ;Ученик 328;английский язык;395
С;Ученик 329;физкультура;238
З;Ученик 330;литература;768
СВ;Ученик 331;французский язык;240
ЮЗ;Ученик 332;английский язык;702
СЗ;Ученик 333;химия;456
ЮВ;Ученик 334;обществознание;643
СВ;Ученик 335;обществознание;438
СВ;Ученик 336;математика;716
Ю;Ученик 337;физкультура;279
В;Ученик 338;обществознание;651
СВ;Ученик 339;русский язык;747
Ю;Ученик 340;обществознание;344
Ю;Ученик 341;информатика;454
В;Ученик 342;ИЗО;488
СВ;Ученик 343;обществознание;321
СЗ;Ученик 344;обществознание;689
ЗЕЛ;Ученик 345;математика;240
З;Ученик 346;история;366
ЮВ;Ученик 347;информатика;486
ЮВ;Ученик 348;обществознание;244
С;Ученик 349;химия;673
ЮЗ;Ученик 350;математика;268
Ц;Ученик 351;математика;532
З;Ученик 352;химия;485
З;Ученик 353;физкультура;499
З;Ученик 354;литература;734
ЮЗ;Ученик 355;история;201
В;Ученик 356;химия;453
В;Ученик 357;физкультура;224
ЮЗ;Ученик 358;химия;686
В;Ученик 359;русский язык;213
В;Ученик 360;обществознание;589
Ю;Ученик 361;обществознание;556
С;Ученик 362;информатика;226
Ц;Ученик 363;английский язык;791
ЮЗ;Ученик 364;математика;572
СВ;Ученик 365;физкультура;734
С;Ученик 366;химия;686
СВ;Ученик 367;физкультура;766
СВ;Ученик 368;физкультура;660
ЮЗ;Ученик 369;русский язык;532
В;Ученик 370;физика;585
З;Ученик 371;английский язык;665
Ц;Ученик 372;физкультура;739
СВ;Ученик 373;физкультура;564
С;Ученик 374;математика;337
Ю;Ученик 375;физика;651
Ю;Ученик 376;физкультура;447
З;Ученик 377;обществознание;582
ЮЗ;Ученик 378;русский язык;386
Ц;Ученик 379;обществознание;432
В;Ученик 380;обществознание;494
ЮВ;Ученик 381;обществознание;365
ЮЗ;Ученик 382;обществознание;530
СЗ;Ученик 383;русский язык;359
Ю;Ученик 384;история;739
ЮЗ;Ученик 385;физкультура;682
Ю;Ученик 386;информатика;468
Ю;Ученик 387;информатика;532
СВ;Ученик 388;английский язык;710
ЮВ;Ученик 389;физкультура;726
Ю;Ученик 390;информатика;709
СВ;Ученик 391;физика;566
Ю;Ученик 392;обществознание;625
Ц;Ученик 393;английский язык;233
Ю;Ученик 394;математика;637
ЮЗ;Ученик 395;обществознание;797
ЮЗ;Ученик 396;английский язык;226
З;Ученик 397;обществознание;443
СЗ;Ученик 398;физкультура;263
В;Ученик 399;литература;369
В;Ученик 400;информатика;218
СЗ;Ученик 401;физкультура;766
СВ;Ученик 402;английский язык;565
СЗ;Ученик 403;физика;599
З;Ученик 404;химия;653
В;Ученик 405;обществознание;409
Ю;Ученик 406;русский язык;788
СЗ;Ученик 407;обществознание;315
ЮВ;Ученик 408;физика;766
С;Ученик 409;обществознание;427
ЮЗ;Ученик 410;обществознание;592
С;Ученик 411;физика;278
ЮВ;Ученик 412;обществознание;411
СВ;Ученик 413;история;722
Ц;Ученик 414;география;787
Ю;Ученик 415;информатика;574
Ц;Ученик 416;химия;353
Ц;Ученик 417;русский язык;452
СВ;Ученик 418;английский язык;757
СВ;Ученик 419;английский язык;754
З;Ученик 420;история;674
ЮЗ;Ученик 421;русский язык;637
СВ;Ученик 422;математика;741
З;Ученик 423;английский язык;330
Ц;Ученик 424;история;330
С;Ученик 425;английский язык;279
З;Ученик 426;обществознание;744
З;Ученик 427;английский язык;205
СВ;Ученик 428;математика;757
З;Ученик 429;математика;395
ЮЗ;Ученик 430;русский язык;671
Ц;Ученик 431;информатика;781
ЮВ;Ученик 432;обществознание;298
ЮВ;Ученик 433;обществознание;302
Ю;Ученик 434;история;224
СВ;Ученик 435;обществознание;530
В;Ученик 436;физика;571
СЗ;Ученик 437;английский язык;351
СЗ;Ученик 438;химия;346
В;Ученик 439;биология;242
В;Ученик 440;математика;509
Ю;Ученик 441;русский язык;620
В;Ученик 442;обществознание;421
С;Ученик 443;английский язык;627
ЮВ;Ученик 444;математика;572
СВ;Ученик 445;история;491
С;Ученик 446;обществознание;783
С;Ученик 447;русский язык;227
ЮВ;Ученик 448;математика;312
З;Ученик 449;обществознание;633
СВ;Ученик 450;математика;501
З;Ученик 451;химияГПД;321
В;Ученик 452;ИЗО;760
СВ;Ученик 453;физкультура;437
З;Ученик 454;английский язык;234
В;Ученик 455;обществознание;615
ЮВ;Ученик 456;обществознание;507
ЮВ;Ученик 457;история;739
Ю;Ученик 458;обществознание;434
ЮЗ;Ученик 459;обществознание;479
СВ;Ученик 460;обществознание;395
СВ;Ученик 461;физкультура;233
СЗ;Ученик 462;литература;541
В;Ученик 463;физкультура;387
СВ;Ученик 464;обществознание;457
З;Ученик 465;физкультура;427
СЗ;Ученик 466;химия;369
СЗ;Ученик 467;физика;597
ЮЗ;Ученик 468;история;526
ЮЗ;Ученик 469;обществознание;335
В;Ученик 470;обществознание;264
Ц;Ученик 471;химия;548
ЮЗ;Ученик 472;обществознание;544
СЗ;Ученик 473;русский язык;464
СВ;Ученик 474;физкультура;368
Ю;Ученик 475;история;564
В;Ученик 476;география;641
ЮЗ;Ученик 477;история;772
ЮЗ;Ученик 478;математика;443
З;Ученик 479;химия;637
ЗЕЛ;Ученик 480;обществознание;574
СВ;Ученик 481;физкультура;352
СВ;Ученик 482;математика;223
ЮЗ;Ученик 483;химия;276
СВ;Ученик 484;русский язык;543
В;Ученик 485;информатика;611
З;Ученик 486;обществознание;394
Ц;Ученик 487;математика;579
С;Ученик 488;обществознание;516
С;Ученик 489;русский язык;204
В;Ученик 490;русский язык;651
ЮЗ;Ученик 491;обществознание;600
С;Ученик 492;русский язык;368
С;Ученик 493;история;634
В;Ученик 494;химия;511
С;Ученик 495;химия;445
Ю;Ученик 496;обществознание;381
В;Ученик 497;информатика;562
Ц;Ученик 498;химия;692
Ю;Ученик 499;английский язык;496
З;Ученик 500;история;201
В;Ученик 501;французский язык;736
СВ;Ученик 502;обществознание;416
ЮЗ;Ученик 503;химия;362
С;Ученик 504;физкультура;595
ЮЗ;Ученик 505;информатика;426
ЮВ;Ученик 506;обществознание;798
В;Ученик 507;математика;569
СВ;Ученик 508;русский язык;291
ЮЗ;Ученик 509;математика;738
ЮЗ;Ученик 510;математика;374
СВ;Ученик 511;физика;627
З;Ученик 512;физика;201
СВ;Ученик 513;французский язык;759
СВ;Ученик 514;физика;411
В;Ученик 515;английский язык;521
С;Ученик 516;английский язык;224
З;Ученик 517;физика;473
З;Ученик 518;биология;437
СВ;Ученик 519;математика;413
Ц;Ученик 520;английский язык;367
С;Ученик 521;физика;507
Ц;Ученик 522;информатика;612
Ю;Ученик 523;обществознание;250
З;Ученик 524;английский язык;792
Ц;Ученик 525;обществознание;667
СЗ;Ученик 526;физкультура;670
Ц;Ученик 527;обществознание;290
З;Ученик 528;биология;758
Ю;Ученик 529;обществознание;530
В;Ученик 530;обществознание;674
СВ;Ученик 531;обществознание;738
З;Ученик 532;информатика;518
В;Ученик 533;история;354
СВ;Ученик 534;математика;731
С;Ученик 535;русский язык;378
В;Ученик 536;обществознание;424
З;Ученик 537;физкультура;765
СВ;Ученик 538;русский язык;326
СВ;Ученик 539;география;743
В;Ученик 540;физика;335
СЗ;Ученик 541;информатика;498
СВ;Ученик 542;математика;739
Ц;Ученик 543;география;563
Ю;Ученик 544;английский язык;269
С;Ученик 545;математика;370
СВ;Ученик 546;физика;671
Ю;Ученик 547;физкультура;742
ЮЗ;Ученик 548;география;416
СЗ;Ученик 549;химия;800
Ю;Ученик 550;география;664
С;Ученик 551;английский язык;352
В;Ученик 552;русский язык;415
СВ;Ученик 553;обществознание;773
В;Ученик 554;физкультура;224
Ю;Ученик 555;физкультура;613
СЗ;Ученик 556;английский язык;328
В;Ученик 557;обществознание;591
В;Ученик 558;английский язык;757
СЗ;Ученик 559;обществознание;390
З;Ученик 560;английский язык;792
С;Ученик 561;история;635
В;Ученик 562;обществознание;342
Ц;Ученик 563;английский язык;736
Ц;Ученик 564;литература;752
С;Ученик 565;математика;585
Ю;Ученик 566;математика;631
СВ;Ученик 567;английский язык;668
СВ;Ученик 568;математика;547
Ю;Ученик 569;физика;617
СВ;Ученик 570;французский язык;760
ЗЕЛ;Ученик 571;обществознание;724
Ю;Ученик 572;обществознание;604
С;Ученик 573;физкультура;666
Ц;Ученик 574;литература;769
Ю;Ученик 575;русский язык;596
С;Ученик 576;обществознание;752
В;Ученик 577;обществознание;543
В;Ученик 578;русский язык;425
Ю;Ученик 579;биология;580
С;Ученик 580;литература;665
В;Ученик 581;география;758
Ю;Ученик 582;физика;567
В;Ученик 583;обществознание;263
З;Ученик 584;математика;619
СВ;Ученик 585;обществознание;659
Ц;Ученик 586;английский язык;604
Ц;Ученик 587;биология;689
В;Ученик 588;физкультура;262
Ц;Ученик 589;информатика;294
Ц;Ученик 590;химия;503
В;Ученик 591;английский язык;226
В;Ученик 592;ИЗО;559
Ц;Ученик 593;физкультура;276
Ц;Ученик 594;информатика;432
З;Ученик 595;история;715
ЮЗ;Ученик 596;химия;569
С;Ученик 597;биология;579
З;Ученик 598;математика;656
В;Ученик 599;английский язык;492
СВ;Ученик 600;биология;728
З;Ученик 601;информатика;506
ЮЗ;Ученик 602;обществознание;776
Ю;Ученик 603;математика;599
СЗ;Ученик 604;математика;652
СВ;Ученик 605;английский язык;290
Ю;Ученик 606;русский язык;561
СВ;Ученик 607;обществознание;772
СВ;Ученик 608;литература;340
С;Ученик 609;математика;517
Ц;Ученик 610;русский язык;654
С;Ученик 611;информатика;722
ЮЗ;Ученик 612;русский язык;783
ЗЕЛ;Ученик 613;химия;398
ЗЕЛ;Ученик 614;математика;564
Ц;Ученик 615;английский язык;553
ЗЕЛ;Ученик 616;литература;311
ЮЗ;Ученик 617;физкультура;524
СВ;Ученик 618;математика;390
СЗ;Ученик 619;русский язык;229
С;Ученик 620;обществознание;441
СЗ;Ученик 621;английский язык;719
ЮВ;Ученик 622;русский язык;551
В;Ученик 623;физкультура;703
СВ;Ученик 624;химия;543
ЮЗ;Ученик 625;математика;509
С;Ученик 626;физика;779
С;Ученик 627;биология;539
ЮВ;Ученик 628;химия;324
ЮВ;Ученик 629;обществознание;468
З;Ученик 630;математика;697
С;Ученик 631;обществознание;304
З;Ученик 632;физкультура;468
Ю;Ученик 633;русский язык;378
ЮЗ;Ученик 634;обществознание;443
СЗ;Ученик 635;история;604
В;Ученик 636;физкультура;680
СВ;Ученик 637;русский язык;429
С;Ученик 638;история;597
ЮВ;Ученик 639;математика;328
В;Ученик 640;химия;334
ЮЗ;Ученик 641;обществознание;763
ЮЗ;Ученик 642;обществознание;648
ЮЗ;Ученик 643;история;739
ЮЗ;Ученик 644;история;616
З;Ученик 645;обществознание;565
ЗЕЛ;Ученик 646;информатика;408
Ю;Ученик 647;физкультура;627
ЮЗ;Ученик 648;информатика;738
Ю;Ученик 649;немецкий язык;617
ЮВ;Ученик 650;английский язык;293
З;Ученик 651;история;435
В;Ученик 652;химия;441
С;Ученик 653;история;586
В;Ученик 654;математика;530
ЮЗ;Ученик 655;русский язык;509
ЮЗ;Ученик 656;математика;314
СЗ;Ученик 657;физика;496
З;Ученик 658;физика;397
З;Ученик 659;английский язык;559
СВ;Ученик 660;химия;226
ЗЕЛ;Ученик 661;химия;254
СЗ;Ученик 662;физика;592
Ц;Ученик 663;география;338
Ю;Ученик 664;обществознание;594
СВ;Ученик 665;химия;478
ЮЗ;Ученик 666;французский язык;575
С;Ученик 667;обществознание;480
Ю;Ученик 668;химия;747
В;Ученик 669;французский язык;639
СВ;Ученик 670;французский язык;765
СВ;Ученик 671;обществознание;582
ЮЗ;Ученик 672;химия;617
З;Ученик 673;обществознание;739
ЮЗ;Ученик 674;математика;454
В;Ученик 675;история;678
Ю;Ученик 676;информатика;730
В;Ученик 677;география;776
З;Ученик 678;биология;602
ЮВ;Ученик 679;русский язык;774
С;Ученик 680;математика;706
Ю;Ученик 681;химия;658
Ц;Ученик 682;математика;608
З;Ученик 683;информатика;290
Ю;Ученик 684;обществознание;527
ЮЗ;Ученик 685;русский язык;664
З;Ученик 686;информатика;699
СВ;Ученик 687;информатика;597
В;Ученик 688;обществознание;216
СВ;Ученик 689;физика;357
Ц;Ученик 690;английский язык;301
ЗЕЛ;Ученик 691;информатика;534
Ц;Ученик 692;английский язык;431
СВ;Ученик 693;французский язык;584
Ю;Ученик 694;математика;492
В;Ученик 695;математика;310
Ю;Ученик 696;математика;631
ЮЗ;Ученик 697;английский язык;524
Ю;Ученик 698;химия;569
З;Ученик 699;русский язык;701
ЗЕЛ;Ученик 700;русский язык;506
Ц;Ученик 701;математика;406
СВ;Ученик 702;обществознание;783
ЮЗ;Ученик 703;обществознание;754
СВ;Ученик 704;английский язык;506
З;Ученик 705;английский язык;210
Ю;Ученик 706;математика;261
Ю;Ученик 707;информатика;676
ЮЗ;Ученик 708;английский язык;730
С;Ученик 709;информатика;608
Ц;Ученик 710;обществознание;328
З;Ученик 711;литература;525
СВ;Ученик 712;литература;643
Ю;Ученик 713;физкультура;725
В;Ученик 714;английский язык;626
ЮЗ;Ученик 715;обществознание;565
СЗ;Ученик 716;обществознание;603
С;Ученик 717;английский язык;647
Ю;Ученик 718;информатика;789
СЗ;Ученик 719;французский язык;426
Ц;Ученик 720;обществознание;727
Ю;Ученик 721;информатика;773
Ю;Ученик 722;информатика;374
Ю;Ученик 723;обществознание;668
СВ;Ученик 724;русский язык;556
СВ;Ученик 725;английский язык;494
Ц;Ученик 726;обществознание;697
ЮВ;Ученик 727;химия;250
Ц;Ученик 728;информатика;300
СВ;Ученик 729;математика;777
З;Ученик 730;информатика;777
В;Ученик 731;обществознание;416
Ю;Ученик 732;обществознание;437
Ю;Ученик 733;история;663
Ю;Ученик 734;русский язык;272
С;Ученик 735;информатика;280
ЗЕЛ;Ученик 736;русский язык;684
С;Ученик 737;обществознание;263
СВ;Ученик 738;биология;403
ЮЗ;Ученик 739;физика;225
Ю;Ученик 740;французский язык;314
В;Ученик 741;обществознание;355
ЮВ;Ученик 742;физкультура;234
СВ;Ученик 743;русский язык;629
З;Ученик 744;физкультура;626
Ю;Ученик 745;математика;281
В;Ученик 746;информатика;298
З;Ученик 747;физика;667
СВ;Ученик 748;русский язык;771
СВ;Ученик 749;русский язык;736
З;Ученик 750;обществознание;597
Ц;Ученик 751;обществознание;519
СЗ;Ученик 752;обществознание;609
В;Ученик 753;физкультура;285
Ц;Ученик 754;информатика;414
В;Ученик 755;обществознание;647
З;Ученик 756;русский язык;798
Ю;Ученик 757;английский язык;353
ЮЗ;Ученик 758;биология;429
З;Ученик 759;физкультура;261
З;Ученик 760;химия;320
З;Ученик 761;история;615
Ю;Ученик 762;английский язык;475
СВ;Ученик 763;обществознание;662
С;Ученик 764;математика;532
ЮЗ;Ученик 765;химия;348
Ц;Ученик 766;обществознание;710
С;Ученик 767;физкультура;710
В;Ученик 768;химия;770
С;Ученик 769;информатика;652
СВ;Ученик 770;информатика;736
ЮЗ;Ученик 771;математика;733
Ю;Ученик 772;русский язык;449
ЮЗ;Ученик 773;ИЗО;749
СВ;Ученик 774;русский язык;510
СЗ;Ученик 775;история;347
Ю;Ученик 776;физкультура;263
В;Ученик 777;обществознание;560
СЗ;Ученик 778;химия;727
СВ;Ученик 779;французский язык;772
ЮЗ;Ученик 780;английский язык;544
ЮВ;Ученик 781;физика;540
ЮВ;Ученик 782;история;283
Ц;Ученик 783;английский язык;695
СЗ;Ученик 784;русский язык;459
СЗ;Ученик 785;обществознание;205
Ю;Ученик 786;обществознание;714
Ц;Ученик 787;английский язык;561
СВ;Ученик 788;обществознание;400
ЮЗ;Ученик 789;информатика;682
ЮВ;Ученик 790;физика;604
З;Ученик 791;обществознание;355
З;Ученик 792;биология;503
В;Ученик 793;физкультура;670
СВ;Ученик 794;физика;645
СВ;Ученик 795;география;775
С;Ученик 796;информатика;728
ЮЗ;Ученик 797;обществознание;689
З;Ученик 798;обществознание;557
Ю;Ученик 799;математика;512
Ю;Ученик 800;физкультура;395
ЮЗ;Ученик 801;обществознание;566
ЗЕЛ;Ученик 802;история;540
ЮЗ;Ученик 803;ИЗО;588
Ц;Ученик 804;история;567
Ц;Ученик 805;химия;690
СВ;Ученик 806;обществознание;235
ЮВ;Ученик 807;литература;450
З;Ученик 808;физкультура;398
В;Ученик 809;русский язык;582
З;Ученик 810;математика;340
Ц;Ученик 811;информатика;309
В;Ученик 812;физкультура;342
В;Ученик 813;обществознание;623
